# 本项目补译的中文释义：词形(|分隔)	读音	释义
十	とお	十，十个
動き出す	うごきだす	开始动起来，启动
丑	うし	丑（十二地支之一）；东北偏北
後ろ姿	うしろすがた	背影
氏神	うじがみ	守护神，地方神
薄着	うすぎ	穿得单薄
薄まる	うすまる	变淡，变薄
薄らぐ	うすらぐ	变淡，减弱
うずうず	うずうず	跃跃欲试，急不可待
うずくまる|蹲る	うずくまる	蹲下，蜷缩
渦巻き	うずまき	漩涡
歌合	うたあわせ	和歌比赛
オートクチュール	おーとくちゅーる	高级定制服装
オートロック	おーとろっく	自动锁；自动门锁系统
オード	おーど	颂歌，赞歌
オードブル	おーどぶる	开胃菜；拼盘
オーバーヒート	おーばーひーと	（发动机等）过热；过度兴奋
オーバーラップ	おーばーらっぷ	重叠；叠印（画面）
オーバーラン	おーばーらん	（垒球）冲过垒；（跑道）冲出；超支，超出预算
オープニング	おーぷにんぐ	开场，开幕；开场白，片头
オープンカー	おーぷんかー	敞篷车
オープンセット	おーぷんせっと	露天布景，外景摄影棚
オープン戦	おーぷんせん	（棒球等）热身赛，公开赛
オーボエ	おーぼえ	双簧管
オーラ	おーら	气场，气质，灵气
オール	おーる	全部；通宵，熬夜
オールスター	おーるすたー	全明星赛；全明星阵容
オールスターキャスト	おーるすたーきゃすと	全明星阵容
オールドガード	おーるどがーど	老卫兵，守旧派
オールナイト	おーるないと	通宵
オールマイティ	おーるまいてぃ	全能的；万能牌，王牌
オールラウンド	おーるらうんど	全能的，多面手的
オーロラ	おーろら	极光
お～	お～	（接头词，表尊敬或礼貌）
加	か	加，加法；加拿大
科	か	（大学、医院的）系，科；专业
か	か	（终助词）表疑问；或者
母さん	かあさん	母亲；（对妻子的称呼）
加圧	かあつ	加压
下位	かい	下位，低位；下级
会	かい	会，集会，聚会
回	かい	（量词）次，回，局（棒球局数）
階	かい	楼层；台阶
甲斐	かい	（做某事的）价值，意义
買い	かい	购买，购物
買い上げ	かいあげ	购买，采购
海域	かいいき	海域
飼い犬	かいいぬ	家养的狗
買い入れ	かいいれ	购入，采购
開演	かいえん	开演
海王星	かいおうせい	海王星
快活	かいかつ	开朗；活泼
海外出張	かいがいしゅっちょう	出国出差
海岸線	かいがんせん	海岸线
会期	かいき	会期
回忌	かいき	（后缀）忌辰，周年忌
回帰	かいき	回归；回归线
怪奇	かいき	怪异，离奇
快挙	かいきょ	壮举，伟绩
開局	かいきょく	（电台等）开播，开局
解禁	かいきん	解禁
懐疑	かいぎ	怀疑
開業医	かいぎょうい	私人开业的医生
海軍	かいぐん	海军
会計検査院	かいけいけんさいん	审计院
会計士	かいけいし	会计师
会計年度	かいけいねんど	财政年度，会计年度
解決策	かいけつさく	解决方案
解決方法	かいけつほうほう	解决办法
改憲	かいけん	修宪
戒厳令	かいげんれい	戒严令
回顧	かいこ	回顾，追忆
蚕	かいこ	蚕
海溝	かいこう	海沟
開口	かいこう	开口，孔口；开口说话
開校	かいこう	（学校）建校，开学
開港	かいこう	开港，开放港口
戒告	かいこく	警告，告诫
開国	かいこく	开国
回顧録	かいころく	回忆录
開墾	かいこん	开垦
海産物	かいさんぶつ	海产品
介在	かいざい	介于其间，存在于
改ざん	かいざん	篡改，伪造
開始時刻	かいしじこく	开始时间
買い占め	かいしめ	囤积，抢购
買い占める	かいしめる	囤积，抢购
会社更生法	かいしゃこうせいほう	公司重整法
改宗	かいしゅう	改变信仰，改宗
楷書	かいしょ	楷书
解消	かいしょう	解除，取消；消除
快勝	かいしょう	轻松取胜
会食	かいしょく	聚餐
改新	かいしん	改新
開示	かいじ	公开，披露
懐柔	かいじゅう	怀柔，笼络
介助	かいじょ	护理，照料
開城	かいじょう	（城池）投降
開場	かいじょう	开场，开门
海上自衛隊	かいじょうじえいたい	海上自卫队
海上保安庁	かいじょうほあんちょう	海上保安厅
海水浴場	かいすいよくじょう	海水浴场
回生	かいせい	复苏，再生
解析	かいせき	解析，分析
回線	かいせん	线路，电路
改選	かいせん	改选
開戦	かいせん	开战
回戦	かいせん	（后缀）第…轮比赛
海戦	かいせん	海战
改組	かいそ	改组
会則	かいそく	会章，社规
快速	かいそく	快速；（列车）快车
海賊	かいぞく	海盗
解体	かいたい	拆除，拆卸；解体
開拓者	かいたくしゃ	开拓者
買い出し	かいだし	采购，外出购物
怪談	かいだん	鬼怪故事
改築	かいちく	改建，翻修
海中	かいちゅう	海中
快調	かいちょう	状态良好，顺利
買い付け	かいつけ	（大量）购买；（常光顾的）常用店家
買い手	かいて	买主
開廷	かいてい	开庭
改訂版	かいていばん	修订版
開店	かいてん	开店，开张
カイト	かいと	风筝
会頭	かいとう	（社团）会长
買取	かいとり	收购，买断
会堂	かいどう	礼堂；教堂
海道	かいどう	航海路线
解読	かいどく	解读，破译
買い得	かいどく	划算，物有所值
か否か	かいなか	是否
海難	かいなん	海难
解任	かいにん	解职，免职
開発者	かいはつしゃ	开发者
開発途上国	かいはつとじょうこく	发展中国家
開発部	かいはつぶ	开发部
開発元	かいはつもと	（软件、游戏等）开发商
開票	かいひょう	开票，计票
海浜	かいひん	海滨
買い控え	かいびかえ	控制购买，减少购物
開封	かいふう	拆封，开封
怪物	かいぶつ	怪物
海兵隊	かいへいたい	海军陆战队
改編	かいへん	改编，改组
会報	かいほう	会刊，会报
解剖学	かいぼうがく	解剖学
回目	かいめ	（后缀）第…次
解明	かいめい	查明，阐明
改名	かいめい	改名
壊滅	かいめつ	毁灭，覆灭
皆目	かいもく	（后接否定）完全，全然
買い戻し	かいもどし	回购，赎回
解約	かいやく	解约
快楽	かいらく	快乐，欢愉
戒律	かいりつ	戒律
回廊	かいろう	回廊，走廊
界隈	かいわい	附近，一带
下院	かいん	下院
課員	かいん	科员，部门职员
カウチポテト	かうちぽてと	沙发土豆（整天窝在沙发看电视的人）
カウボーイ	かうぼーい	牛仔
カウント	かうんと	计数；（棒球）好坏球数
替え	かえ	替换，更换；备用品
替え玉	かえだま	替身，冒名顶替者
返り咲き	かえりざき	（事业等）东山再起；重开的花
帰り道	かえりみち	归途，回家的路
かえる|蛙	かえる	青蛙
火炎瓶	かえんびん	燃烧瓶，汽油弹
顔合わせ	かおあわせ	初次见面；联合演出
カオス	かおす	混沌，混乱
顔なじみ	かおなじみ	熟人，老相识
顔ぶれ	かおぶれ	成员，阵容
顔見知り	かおみしり	熟人，面熟的人
香る	かおる	散发香气，芳香
顔を出す	かおをだす	露面，出席
顔を潰す	かおをつぶす	使人丢脸，使人难堪
抱え	かかえ	一抱，一捆；雇员
係官	かかりかん	主管官员，负责人
かかわらず|関わらず	かかわらず	不管，尽管，不论
加害者	かがいしゃ	加害者
科学技術庁	かがくぎじゅつちょう	科学技术厅
科学的	かがくてき	科学的
化学肥料	かがくひりょう	化学肥料
化学物質	かがくぶっしつ	化学物质
化学兵器	かがくへいき	化学武器
輝き	かがやき	光辉，光彩
かき|牡蠣	かき	牡蛎
火器	かき	火器，枪械
垣	かき	篱笆，围墙
柿	かき	柿子
夏季	かき	夏季
夏期	かき	（学校等的）暑期
書き換える	かきかえる	改写，重写；更新
カキコ	かきこ	（论坛、博客的）留言，帖子
書き言葉	かきことば	书面语
書き込み	かきこみ	填写；（网络）留言，发帖
書き初め	かきぞめ	新年首次书法
書き取り	かきとり	听写；抄写
下級	かきゅう	下级，低级
佳境	かきょう	精彩部分，高潮
華僑	かきょう	华侨
架橋	かきょう	架桥，建桥
歌曲	かきょく	歌曲，乐曲
家業	かぎょう	家业，家庭营生
稼業	かぎょう	行业，职业
画	かく	（量词）（汉字）笔画
各	かく	各，每
各位	かくい	各位，诸位
画一	かくいつ	统一，划一
角界	かくかい	相扑界
核家族	かくかぞく	核心家庭（小家庭）
閣議	かくぎ	内阁会议
隔月	かくげつ	隔月，每隔一月
核酸	かくさん	核酸
確執	かくしつ	（长期的）不和，对立
隠し引き出し	かくしひきだし	暗抽屉
核心	かくしん	核心，要害
核実験	かくじっけん	核试验
画数	かくすう	（汉字）笔画数
画する	かくする	划（线）；划定，界定
拡大均衡	かくだいきんこう	扩大均衡
核弾頭	かくだんとう	核弹头
拡張子	かくちょうし	（文件）扩展名
格付け	かくづけ	评级，定级
格闘	かくとう	搏斗，格斗
閣内	かくない	内阁内
核燃料	かくねんりょう	核燃料
核武装	かくぶそう	核武装
核分裂	かくぶんれつ	核裂变
角膜	かくまく	角膜
確約	かくやく	确切承诺，保证
格安航空券	かくやすこうくうけん	廉价机票
核融合	かくゆうごう	核聚变
隔離	かくり	隔离
閣僚	かくりょう	内阁成员，阁员
各～	かく～	各，每
神楽	かぐら	（日本）神乐，神社祭祀乐舞
賭け	かけ	赌，赌注
家系	かけい	家系，血统
家計簿	かけいぼ	家庭账本
掛け金	かけきん	分期付款；保险费
駆け込み	かけこみ	冲进去；（截止前）临时抢办
掛け声	かけごえ	（劳作、比赛等）呐喊声，吆喝声
掛け軸	かけじく	挂轴，字画
駆けつける	かけつける	跑去，赶到
かけ離れる	かけはなれる	相距甚远，脱离
駆け引き	かけひき	讨价还价；（战术）应对策略
駆け回る	かけまわる	奔跑，到处跑；奔走
かけら|欠片	かけら	碎片，碎块
翔る	かける	翱翔，飞翔；奔驰
影絵	かげえ	皮影，剪影
歌劇	かげき	歌剧
陰口	かげぐち	背后说坏话，诽谤
ヶ月	かげつ	（量词）…个月
影の内閣	かげのないかく	影子内阁
陰り	かげり	阴影，阴云；（形势）暗淡
下限	かげん	下限
囲い	かこい	围栏，圈子
囲う	かこう	围住，圈起来；包养
河口	かこう	河口
過酷	かこく	严酷，苛刻
カ国	かこく	（量词）…国
囲み	かこみ	包围，围栏；（报纸）方框内容
禍根	かこん	祸根，祸端
化合物	かごうぶつ	化合物
笠	かさ	斗笠；（灯等的）罩子
家裁	かさい	家庭法院
火災保険	かさいほけん	火灾保险
火砕流	かさいりゅう	火山碎屑流
カサカサ	かさかさ	干巴巴，干燥；沙沙作响
佳作	かさく	佳作
重ね合わせ	かさねあわせ	重叠，叠加
加算	かさん	加，加算；附加
風穴	かざあな	通风孔，气孔
家財	かざい	家产，家当
風上	かざかみ	上风，迎风
風下	かざしも	下风，背风
風向き	かざむき	风向；形势，情况
飾り気	かざりけ	矫饰，做作
飾り付け	かざりつけ	装饰，布置
火山灰	かざんばい	火山灰
下肢	かし	下肢
貸金	かしきん	贷款，借款
傾げる	かしげる	歪，倾斜（脑袋等）
貸出	かしだし	出借，借出
貸出用	かしだしよう	借阅用，出借用
貸付	かしつけ	借贷，贷款
過失致死	かしつちし	过失致死
貨車	かしゃ	货车（车厢）
菓子屋	かしや	点心店，糖果店
歌集	かしゅう	和歌集；歌曲集
仮称	かしょう	暂定名称
歌唱	かしょう	歌唱，唱歌
過小評価	かしょうひょうか	低估
かしら	かしら	（终助词，多用于女性）呢，吧
頭文字	かしらもじ	首字母，大写字母
柏	かしわ	柏树，槲树
柏木	かしわぎ	槲树；皇宫警卫
舵	かじ	舵
カジノ	かじの	赌场
果樹	かじゅ	果树
カジュアル	かじゅある	休闲的，随意的
果汁	かじゅう	果汁
加重	かじゅう	加重，加权
家人	かじん	家人，家眷
歌人	かじん	和歌诗人
カスタマー	かすたまー	顾客
カスタム	かすたむ	定制的
カステラ	かすてら	长崎蛋糕
カスバ	かすば	卡斯巴（北非古城堡）
カスピ海	かすぴかい	里海
かすみ|霞	かすみ	（春天的）薄雾，霞
科する	かする	（对犯人）处以，科处（罚金等）
数多く	かずおおく	许多，大量
数少ない	かずすくない	为数不多，稀少
化成	かせい	化成，转变
家政	かせい	家政
家政婦	かせいふ	女佣，家政服务员
稼ぎ	かせぎ	收入，挣的钱
カセットテープ	かせっとてーぷ	盒式磁带
架設	かせつ	架设，架设建造
仮説	かせつ	假说，假设
寡占	かせん	寡头垄断
河川敷	かせんじき	河滩地
風当たり	かぜあたり	迎风；（社会的）批评，压力
風通し	かぜとおし	通风；（组织内）沟通顺畅
風邪をひく	かぜをひく	感冒，着凉
仮装	かそう	化装，扮装
火葬	かそう	火葬
家族計画	かぞくけいかく	计划生育
過多	かた	过多，过剩
潟	かた	泻湖，海滩
難い	かたい	难以…，很难…
堅; 硬; 固い	かたい	坚硬，结实；坚定
片側	かたがわ	一侧，一边
家宅	かたく	住宅，住所
硬さ	かたさ	硬度，坚硬程度
型式	かたしき	型号，样式
片隅	かたすみ	角落
形見	かたみ	遗物，纪念品
固め	かため	巩固，加固；誓约
片目	かため	一只眼睛；独眼
偏り	かたより	偏差，偏向
語らう	かたらう	交谈；约定，商定
語り	かたり	讲述，叙述
語り口	かたりくち	讲述方式，说话腔调
語り手	かたりて	讲述者，叙述者
カタル|加答児	かたる	卡他，粘膜炎
加担	かたん	参与，协助（多含贬义）
仮題	かだい	暂定标题
カチカチ	かちかち	嘀嗒声；咔嗒声
価値観	かちかん	价值观
勝ち越し	かちこし	胜多于负；反超
勝ち越す	かちこす	胜多于负；反超领先
勝ち星	かちぼし	胜绩标记，获胜
渦中	かちゅう	漩涡中；（事件、纠纷的）漩涡之中
カチューシャ	かちゅーしゃ	发箍
花鳥	かちょう	花鸟
課徴金	かちょうきん	征收金，罚款
閣下	かっか	阁下
活況	かっきょう	兴旺，繁荣
確固	かっこ	坚定，确凿
括弧	かっこ	括号
滑降	かっこう	（滑雪）滑降
褐色	かっしょく	褐色
渇水	かっすい	缺水，干旱
活性	かっせい	活性
合戦	かっせん	交战，战斗
滑走	かっそう	滑行
滑走路	かっそうろ	跑道
カッター	かったー	裁纸刀，美工刀
勝手気まま	かってきまま	随心所欲，任性
カッと	かっと	突然发火；突然发亮
喝破	かっぱ	喝破，一语道破
カッパ|合羽	かっぱ	雨衣
カップリングシュガー	かっぷりんぐしゅがー	耦合糖
カツ	かつ	炸肉排
担ぎ	かつぎ	搬运工
割譲	かつじょう	割让（领土）
活動家	かつどうか	活动家
渇望	かつぼう	渴望
桂	かつら	桂树，连香树
かつら|鬘	かつら	假发
活路	かつろ	生路，出路
家庭科	かていか	家政课
家庭内	かていない	家庭内的，家庭内部
カテゴリ	かてごり	类别，范畴
加点	かてん	加分
カテーテル	かてーてる	导管
家電	かでん	家电
カデンツ	かでんつ	终止式（音乐）
過渡	かと	过渡
かと	かと	（表推测）或许…吧；心想…
下等	かとう	低等，低级
過当	かとう	过度，过分
過渡期	かとき	过渡期
カトリシズム	かとりしずむ	天主教教义
カトリック|加特力	かとりっく	天主教
カトリック教会	かとりっくきょうかい	天主教会
カトレヤ	かとれや	卡特兰（一种兰花）
過度	かど	过度
華道	かどう	花道，插花艺术
稼働	かどう	运转，开动；开工
か如何か	かどうか	是否
稼働率	かどうりつ	运转率，开工率
カドミウム	かどみうむ	镉
かな	かな	（终助词）表自问、期望
金網	かなあみ	铁丝网
金具	かなぐ	金属配件
金縛り	かなしばり	鬼压床，睡眠瘫痪
黄身	きみ	蛋黄
君が代	きみがよ	君之代（日本国歌）
君たち	きみたち	你们；诸位
機密	きみつ	机密；保密
キムチ|沈菜	きむち	泡菜
決め	きめ	约定；规定；决定
決め球	きめだま	（投手）制胜球
決め手	きめて	决定性因素；决定人；王牌
キメラ	きめら	嵌合体；奇美拉
肝	きも	肝脏；内脏；胆量，心思
気持ちいい	きもちいい	舒服；愉快，畅快
客足	きゃくあし	顾客往来（情况）；客流
客員	きゃくいん	客座（成员）；客座教授
客車	きゃくしゃ	客车厢
客船	きゃくせん	客船
キャスター	きゃすたー	新闻播报员；（家具）脚轮
キャスティング	きゃすてぃんぐ	（角色）选派，选角
キャスト	きゃすと	演员阵容；投掷，抛（钓线）
キャッシュカード	きゃっしゅかーど	现金卡；提款卡
キャッシング	きゃっしんぐ	现金贷款；信用卡透支
キャッチャー	きゃっちゃー	（棒球）捕手
キャッツアイ	きゃっつあい	猫眼石；道路反光钉
キャットウォーク	きゃっとうぉーく	（舞台、桥侧的）狭窄通道；猫爬架
キャップ	きゃっぷ	帽子；瓶盖，笔帽
キャディー	きゃでぃー	（高尔夫）球童
キャバレー	きゃばれー	夜总会
キャビア	きゃびあ	鱼子酱
キャビネット	きゃびねっと	柜子；机箱，机柜
キャビン	きゃびん	机舱；船舱
キャピタリズム	きゃぴたりずむ	资本主义
キャピタルゲイン	きゃぴたるげいん	资本收益
キャブレター	きゃぶれたー	汽化器
キャプション	きゃぷしょん	（图片、影视）说明文字；字幕
キャメル	きゃめる	骆驼；驼色
キャラ	きゃら	（虚构）角色；个性
キャラバン	きゃらばん	商队；旅行团
キャラメル	きゃらめる	焦糖，太妃糖
キャリー	きゃりー	携带，搬运
キャロル	きゃろる	颂歌，圣诞颂歌
キャンディ	きゃんでぃ	糖果
キャンドル	きゃんどる	蜡烛
キャンバス	きゃんばす	画布；帆布
キャンパー	きゃんぱー	露营者
キャンピング	きゃんぴんぐ	露营
キャンピングカー	きゃんぴんぐかー	房车
キャンプイン	きゃんぷいん	开始集训
キャンベラ	きゃんべら	堪培拉
球威	きゅうい	（投手）球的威力
吸引	きゅういん	吸引，吸收
球界	きゅうかい	棒球界
休刊	きゅうかん	停刊
急患	きゅうかん	急诊病人
休館	きゅうかん	（图书馆、博物馆等）闭馆
救急	きゅうきゅう	急救；急救的
救急医療	きゅうきゅういりょう	急救医疗
救急箱	きゅうきゅうばこ	急救箱
急遽	きゅうきょ	急忙；匆忙
球菌	きゅうきん	球菌
球技	きゅうぎ	球类运动
求刑	きゅうけい	（检察官）求刑
休憩所	きゅうけいじょ	休息处；服务区
吸血鬼	きゅうけつき	吸血鬼
休校	きゅうこう	（学校）临时停课
救国	きゅうこく	救国
糾合	きゅうごう	纠合，聚集
休止	きゅうし	休止，暂停
急死	きゅうし	猝死
旧式	きゅうしき	旧式；老式
救出	きゅうしゅつ	救出，营救
急所	きゅうしょ	要害；要点，关键
旧正月	きゅうしょうがつ	农历新年，春节
休職	きゅうしょく	停职；休职
急進	きゅうしん	激进
急伸	きゅうしん	（股价等）急升，猛涨
求心力	きゅうしんりょく	向心力；凝聚力
９０	きゅうじゅう	九十
休場	きゅうじょう	（剧场等）暂时停业；缺席，缺赛
球場	きゅうじょう	棒球场
窮状	きゅうじょう	困境；窘迫处境
求人	きゅうじん	招聘；招工
給水	きゅうすい	供水
休する	きゅうする	终结；休息
急性	きゅうせい	急性（的）
急逝	きゅうせい	猝然去世
旧制	きゅうせい	旧制度；旧体制
旧姓	きゅうせい	原姓；娘家姓
救世軍	きゅうせいぐん	救世军
救世主	きゅうせいしゅ	救世主；救星
急成長	きゅうせいちょう	迅速成长；快速增长
急増	きゅうぞう	骤增；激增
旧態	きゅうたい	旧貌；老样子
球団	きゅうだん	（职业棒球）球队
糾弾	きゅうだん	谴责，抨击
宮中	きゅうちゅう	宫中；皇宫
宮廷	きゅうてい	宫廷
弓道	きゅうどう	弓道
吸入	きゅうにゅう	吸入
旧派	きゅうは	旧派，守旧派
急ピッチ	きゅうぴっち	进展快；快节奏
給付	きゅうふ	给付，发放
急変	きゅうへん	骤变；突发事故
急務	きゅうむ	急务；当务之急
救命	きゅうめい	救命
旧約	きゅうやく	旧约（圣经）
給油	きゅうゆ	加油；上油
給油所	きゅうゆじょ	加油站
旧来	きゅうらい	自古以来；一直以来
給料日	きゅうりょうび	发薪日
キュリー	きゅりー	居里（放射性单位）
キュレーター	きゅれーたー	策展人
キュロット	きゅろっと	裙裤
キュー	きゅー	（台球）球杆；提示，暗号
キュート	きゅーと	可爱的
キューバ|玖馬	きゅーば	古巴
京	きょう	京（首都，指京都）；10的16次方
卿	きょう	卿，大人
興	きょう	兴致；兴趣
経	きょう	经，佛经
凶悪	きょうあく	凶恶；凶残
脅威	きょうい	威胁
教育委員会	きょういくいいんかい	教育委员会
教育者	きょういくしゃ	教育工作者
教育的	きょういくてき	教育性的
競泳	きょうえい	竞速游泳
共栄	きょうえい	共荣
競演	きょうえん	（演员间的）竞演，竞技表演
共演	きょうえん	同台演出；联合出演
饗宴	きょうえん	宴会，盛宴
恐喝	きょうかつ	恐吓；敲诈勒索
驚愕	きょうがく	惊愕，震惊
狂気	きょうき	疯狂；疯癫
凶器	きょうき	凶器
橋脚	きょうきゃく	桥墩
胸襟	きょうきん	胸怀，心怀
競技場	きょうぎじょう	体育场，运动场
強権	きょうけん	强权
狂言	きょうげん	狂言（日本传统喜剧）
強固	きょうこ	坚固；牢固
恐慌	きょうこう	恐慌
強行採決	きょうこうさいけつ	强行表决
峡谷	きょうこく	峡谷
強国	きょうこく	强国
今日この頃	きょうこのごろ	近来；这几天
強豪	きょうごう	强豪；劲敌
競合他社	きょうごうたしゃ	竞争对手公司
教唆	きょうさ	教唆
共催	きょうさい	共同主办
共済	きょうさい	互助
共産	きょうさん	共产（主义）
協賛	きょうさん	赞助；协办
共産主義	きょうさんしゅぎ	共产主义
共産党	きょうさんとう	共产党
共産～	きょうさん～	共产~
強者	きょうしゃ	强者
供出	きょうしゅつ	（战时）供出，缴纳
教書	きょうしょ	（总统等的）咨文；教令
教職員	きょうしょくいん	教职员
狭心症	きょうしんしょう	心绞痛
教示	きょうじ	指教；指导
強弱	きょうじゃく	强弱
供述	きょうじゅつ	供述
共生	きょうせい	共生
強制的	きょうせいてき	强制性的
教祖	きょうそ	（宗教）创始人；教主
強壮	きょうそう	强壮
協奏曲	きょうそうきょく	协奏曲
競争入札	きょうそうにゅうさつ	竞标；招投标
競走馬	きょうそうば	赛马
競争力	きょうそうりょく	竞争力
胸像	きょうぞう	胸像
筐体	きょうたい	机壳；机箱
驚嘆	きょうたん	惊叹
強打	きょうだ	猛击，重击
強大	きょうだい	强大
鏡台	きょうだい	梳妆台
教団	きょうだん	宗教团体
教壇	きょうだん	讲台
境地	きょうち	境地；心境
胸中	きょうちゅう	心中；内心
共著	きょうちょ	合著
競艇	きょうてい	竞艇
強敵	きょうてき	强敌
教徒	きょうと	教徒，信徒
共闘	きょうとう	共同斗争，联合行动
教頭	きょうとう	（学校）副校长，教导主任
強度	きょうど	强度
協同組合	きょうどうくみあい	合作社
共同体	きょうどうたい	共同体
共犯	きょうはん	共犯
恐怖症	きょうふしょう	恐惧症
胸部	きょうぶ	胸部
競歩	きょうほ	竞走
狂奔	きょうほん	奔走；疯跑
共謀	きょうぼう	共谋
興味津々	きょうみしんしん	兴致勃勃；饶有兴趣
教務	きょうむ	教务
共有	きょうゆう	共有；共享
供与	きょうよ	给予，提供
共用	きょうよう	共用
強要	きょうよう	强求；强迫
狂乱	きょうらん	狂乱；发狂
共立	きょうりつ	共同设立，共立
恐竜	きょうりゅう	恐龙
協和	きょうわ	协和；和睦
共和国	きょうわこく	共和国
共和制	きょうわせい	共和制
共和党	きょうわとう	共和党
虚栄	きょえい	虚荣
虚栄心	きょえいしん	虚荣心
巨漢	きょかん	巨汉，彪形大汉
巨額	きょがく	巨额
虚偽	きょぎ	虚假；虚伪
局員	きょくいん	（邮局、办事处等）职员
極右	きょくう	极右（政治立场）
曲折	きょくせつ	曲折
局地	きょくち	局部地区
局長	きょくちょう	局长
極東	きょくとう	远东
極度	きょくど	极度；极端
局留め	きょくどめ	局存（信件由邮局暂存待取）
局番	きょくばん	（电话）局号，区号
局面	きょくめん	局面；棋局态势
曲目	きょくもく	曲目
極力	きょくりょく	尽力；竭力
虚構	きょこう	虚构；捏造
挙式	きょしき	举行仪式（尤指婚礼）
居室	きょしつ	起居室
巨視的	きょしてき	宏观的
去就	きょしゅう	去留；进退取舍
拠出	きょしゅつ	出资，捐款
虚心	きょしん	虚心；坦率无成见
虚弱	きょじゃく	虚弱
居住者	きょじゅうしゃ	居民
巨人	きょじん	巨人；伟人；（日本）读卖巨人队
巨星	きょせい	巨星；伟人
拒絶反応	きょぜつはんのう	排斥反应；强烈抵触
巨体	きょたい	庞大的身躯
許諾	きょだく	许诺；准许
挙党	きょとう	全党
拒否権	きょひけん	否决权
虚無	きょむ	虚无
去来	きょらい	来去；（思绪）萦绕反复
キョロキョロ	きょろきょろ	（东张西望）骨碌碌，四下张望
起用	きよう	起用；任用
機雷	きらい	水雷
キラキラ	きらきら	闪闪发光；闪烁
切らす	きらす	用完，用尽；断绝
キラー	きらー	杀手；克星
桐	きり	桐树
切り	きり	限度；截止；段落
切り上げ	きりあげ	结束；（数值）进位；（货币）升值
切り替え	きりかえ	转换；切换
きりがない|切りがない	きりがない	没完没了；无止境
切り崩す	きりくずす	削平（土地）；分化瓦解（对方阵营）
切り口	きりくち	切口；切面
切り下げ	きりさげ	（货币）贬值；下调
霧雨	きりさめ	毛毛雨
キリシタン|切支丹	きりしたん	（日本战国、江户时代的）天主教（徒）
切り捨て	きりすて	舍弃；（数值）舍去
切り捨てる	きりすてる	切除扔掉；舍弃，抛弃
キリスト|基督	きりすと	基督
キリスト教	きりすときょう	基督教
起立	きりつ	起立
切り抜き	きりぬき	剪报；剪贴
切り離す	きりはなす	切离；分开，割断
切り札	きりふだ	王牌；杀手锏
キリル	きりる	西里尔（字母）
きりん|麒麟	きりん	长颈鹿；麒麟
キル	きる	杀球，扣球（排球等）
切れ味	きれあじ	锋利程度；（言辞、手腕）犀利
岐路	きろ	岔路；十字路口
帰路	きろ	归途，回程
キロ; キログラム	きろ; きろぐらむ	千克，公斤（略称）
キロ; キロメートル	きろ; きろめーとる	千米，公里（略称）
記録的	きろくてき	创纪录的
キログラム|瓩	きろぐらむ	千克，公斤
キロメートル|粁	きろめーとる	千米，公里
キロワット	きろわっと	千瓦
際立つ	きわだつ	显眼；突出
極まる	きわまる	达到极点；到头
極み	きわみ	极点，顶点
気をつける	きをつける	小心；注意
均一	きんいつ	均一；一致
金貨	きんか	金币
近海	きんかい	近海
金塊	きんかい	金块；金锭
謹賀新年	きんがしんねん	恭贺新年
緊急事態宣言	きんきゅうじたいせんげん	紧急事态宣言
近況	きんきょう	近况
近距離	きんきょり	近距离
禁句	きんく	忌讳的话；禁忌词
キング	きんぐ	国王；（扑克、国际象棋）K
金権	きんけん	金权，金钱势力
禁錮	きんこ	禁锢，监禁
近作	きんさく	近作
禁止事項	きんしじこう	禁止事项
禁止法	きんしほう	禁止法
禁酒	きんしゅ	禁酒；戒酒
緊縮	きんしゅく	紧缩
謹慎	きんしん	自我约束；闭门思过
近親	きんしん	近亲
近日	きんじつ	近日；不日
禁ずる	きんずる	禁止
均整	きんせい	匀称；协调
禁制	きんせい	禁止；查禁
金星	きんせい	金星
金石	きんせき	金石；金石铭文
近代詩	きんだいし	现代诗
近代的	きんだいてき	现代的
近著	きんちょ	近著
均等	きんとう	均等；均衡
緊迫	きんぱく	紧迫；紧张
金髪	きんぱつ	金发
金屏風	きんびょうぶ	金屏风
金品	きんぴん	钱财物品
近辺	きんぺん	附近，近旁
緊密	きんみつ	紧密
金脈	きんみゃく	金矿脉；财源，金主
勤務時間	きんむじかん	工作时间
禁輸	きんゆ	禁运
金融機関	きんゆうきかん	金融机构
金融市場	きんゆうしじょう	金融市场
金融庁	きんゆうちょう	（日本）金融厅
金曜	きんよう	星期五
禁欲的	きんよくてき	禁欲的；克制的
筋力	きんりょく	肌肉力量
近隣	きんりん	近邻；附近
勤労者	きんろうしゃ	劳动者
キー	きー	钥匙；（乐器、键盘）键；关键
キーステーション	きーすてーしょん	（广播网）主播台，龙头台
キーパー	きーぱー	守门员
キープ	きーぷ	保持；保留
キーポイント	きーぽいんと	关键点
キーマン	きーまん	关键人物
キール	きーる	龙骨
キーワード	きーわーど	关键词
儀	ぎ	仪式；事情
ギア	ぎあ	齿轮；挡位
議院	ぎいん	议院，国会
議院運営委員会	ぎいんうんえいいいんかい	众（参）议院运营委员会
義援金	ぎえんきん	捐款，赈灾款
ギガ	ぎが	吉，十亿（词头）；千兆字节
戯画	ぎが	漫画；讽刺画
疑義	ぎぎ	疑义，疑问
義兄	ぎけい	姐夫；大伯子
疑獄	ぎごく	（重大）贪污案；受贿案
ギザギザ|刻々	ぎざぎざ	锯齿状；参差不齐
